points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,bonus_points_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_sum_last_5,xA_sum_last_5,home_away_current,fdr_current,actual_gw_points
13,90.0,0,2,1,0,0,3,648026,3568807,74.2,78.6,212.0,0.0,8.0,0.52,0.25,1.57,0.76,1,3,0
4,90.0,0,0,0,0,0,2,500075,3500786,22.6,33.1,105.0,0.0,8.0,0.45,0.09,0.9,0.18,0,4,0
2,90.0,0,0,0,0,0,1,257279,3518273,6.2,9.3,54.0,-0.1,7.9,0.35,0.14,0.35,0.14,1,3,0
0,0.0,0,0,0,0,0,0,56019,3352231,0.0,0.0,0.0,-0.1,7.9,0.0,0.0,0.0,0.0,0,2,0
0,0.0,0,0,0,0,0,0,4147,1248431,0.0,0.0,0.0,-0.1,7.9,0.0,0.0,0.0,0.0,1,3,0
0,0.0,0,0,0,0,0,0,3877,676502,0.0,0.0,0.0,-0.1,7.9,0.0,0.0,0.0,0.0,1,5,0
0,0.0,0,0,0,0,0,0,3781,531068,0.0,0.0,0.0,-0.1,7.9,0.0,0.0,0.0,0.0,0,2,0
0,0.0,0,0,0,0,0,0,3533,363170,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0,3,0
0,0.0,0,0,0,0,0,0,4362,283835,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,1,2,0
0,0.0,0,0,0,0,0,0,5259,182467,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,1,2,0
0,0.0,0,0,0,0,0,0,7223,160855,0.0,0.0,0.0,0.0,7.9,0.0,0.0,0.0,0.0,0,2,1
1,13.0,0,0,0,0,0,0,9727,137749,6.4,1.1,17.0,0.0,7.9,0.12,0.02,0.12,0.02,1,2,1
2,19.0,0,0,0,0,0,0,47622,114393,6.4,2.9,26.0,0.0,7.9,0.16,0.02,0.32,0.03,1,2,12
14,32.33,2,0,3,0,0,1,75807,104927,77.0,17.2,81.0,0.0,7.9,0.69,0.02,2.07,0.06,0,4,7
21,44.0,3,0,4,0,0,2,250465,88800,114.0,24.4,105.0,0.1,8.0,0.76,0.02,3.02,0.07,0,3,7
28,48.4,4,0,6,1,0,3,401797,78640,149.2,28.8,138.0,0.2,8.1,0.79,0.02,3.95,0.09,1,2,2
29,63.8,4,0,6,1,0,4,694314,67976,149.4,48.2,185.0,0.3,8.2,1.04,0.03,5.19,0.16,0,5,2
30,74.8,4,0,6,1,0,5,671647,246913,151.0,48.5,180.0,0.3,8.2,1.0,0.03,4.99,0.15,1,3,7
25,81.0,3,0,4,1,0,5,661347,343868,117.2,61.0,184.0,0.2,8.1,0.72,0.11,3.59,0.57,0,4,2
20,82.4,2,0,3,1,0,5,529377,377985,85.4,66.9,188.0,0.1,8.1,0.54,0.12,2.72,0.62,1,3,2
15,84.4,1,0,1,0,0,5,403700,418012,60.8,83.8,180.0,0.0,8.1,0.37,0.13,1.85,0.65,0,2,1
14,84.4,1,0,1,1,0,5,164157,451895,60.4,76.9,196.0,-0.1,8.1,0.16,0.12,0.79,0.62,1,2,12
22,76.8,1,2,3,0,0,4,191138,265443,89.6,46.4,99.0,0.0,7.4,0.2,0.19,1.02,0.94,1,5,2
23,90.0,1,2,3,0,0,5,197261,352837,91.0,35.5,121.0,-0.2,7.3,0.24,0.19,1.2,0.94,1,2,2
14,90.0,1,0,0,0,0,5,202008,289569,67.8,22.7,97.0,-0.1,7.3,0.14,0.05,0.71,0.25,0,2,2
