points_last_5,minutes_per_game_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,goals_conceded_last_5,yellow_cards_last_5,red_cards_last_5,starts_last_5,transfers_in_last_5,transfers_out_last_5,influence_last_5,creativity_last_5,threat_last_5,player_price_diff_last_5,player_price,xG_per_game_last_5,xA_per_game_last_5,xG_conceded_per_game_last_5,xG_sum_last_5,xA_sum_last_5,xGoals_Conceeded_sum_last_5,home_away_current,fdr_current,actual_gw_points
10,51.25,0,0,1,0,1,0,0,2,28234,33342,30.4,21.2,31.0,-0.1,4.8,0.06,0.05,2.49,0.24,0.2,1.11,0,2,1
9,32.25,0,0,1,0,0,0,0,1,22638,30173,21.6,18.4,10.0,-0.1,4.8,0.01,0.04,2.49,0.04,0.16,0.83,0,2,1
10,29.4,0,0,1,0,0,0,0,1,15903,24426,23.8,19.1,12.0,-0.1,4.8,0.01,0.03,2.49,0.04,0.16,0.83,1,2,1
5,14.2,0,0,0,0,0,0,0,0,15401,24917,13.2,6.1,9.0,0.0,4.8,0.0,0.01,2.49,0.02,0.04,0.34,0,4,1
5,13.2,0,0,0,0,0,0,0,0,14885,19536,11.2,2.7,2.0,0.0,4.8,0.0,0.0,2.49,0.0,0.01,0.38,0,2,0
4,14.5,0,0,0,0,0,0,0,0,13019,17784,11.2,2.1,2.0,-0.1,4.7,0.0,0.0,2.49,0.0,0.01,0.26,1,2,2
5,29.0,0,0,0,0,1,0,0,1,22147,22121,12.2,15.6,6.0,-0.1,4.7,0.0,0.01,2.49,0.0,0.05,1.06,0,3,0
4,32.0,0,0,0,0,3,0,0,1,21631,21658,17.4,15.2,4.0,-0.1,4.7,0.0,0.01,2.49,0.0,0.05,1.84,1,3,0
3,38.0,0,0,0,0,3,0,0,1,19281,21438,14.4,14.1,4.0,-0.1,4.7,0.0,0.01,2.49,0.0,0.04,1.8,0,4,1
3,37.67,0,0,0,0,3,0,0,1,18076,21693,12.6,17.1,4.0,-0.1,4.7,0.0,0.01,2.49,0.0,0.04,2.1,1,3,0
3,37.67,0,0,0,0,3,0,0,1,16898,20738,12.6,17.1,4.0,0.0,4.7,0.0,0.01,2.49,0.0,0.04,2.1,0,2,0
1,20.5,0,0,0,0,2,0,0,0,4390,15675,9.4,3.3,0.0,-0.1,4.6,0.0,0.0,2.49,0.0,0.0,1.13,1,3,0
1,11.0,0,0,0,0,0,0,0,0,2696,15635,2.0,3.0,0.0,-0.1,4.6,0.0,0.0,2.49,0.0,0.0,0.35,1,5,0
1,11.0,0,0,0,0,0,0,0,0,2397,14313,2.0,3.0,0.0,-0.1,4.6,0.0,0.0,2.49,0.0,0.0,0.35,0,2,1
1,1.0,0,0,0,0,0,0,0,0,2076,11685,2.0,0.0,0.0,-0.1,4.6,0.0,0.0,2.49,0.0,0.0,0.0,0,3,0
1,1.0,0,0,0,0,0,0,0,0,1941,10509,2.0,0.0,0.0,-0.1,4.6,0.0,0.0,2.49,0.0,0.0,0.0,1,2,1
2,4.5,0,0,0,0,0,0,0,0,1783,8196,6.0,4.4,2.0,0.0,4.6,0.0,0.01,2.49,0.0,0.02,0.62,1,2,0
2,4.5,0,0,0,0,0,0,0,0,1637,7240,6.0,4.4,2.0,0.0,4.6,0.0,0.01,2.49,0.0,0.02,0.62,0,2,1
3,9.0,0,0,0,0,0,0,0,0,1480,6431,11.2,5.2,2.0,0.0,4.6,0.0,0.01,2.49,0.0,0.02,0.83,1,2,4
6,17.0,0,1,0,0,0,0,0,0,1355,5723,27.0,15.9,4.0,0.0,4.6,0.0,0.03,2.49,0.0,0.09,1.17,1,2,1
7,14.0,0,1,0,0,0,0,0,0,1219,5197,27.2,16.2,4.0,0.0,4.6,0.0,0.02,2.49,0.0,0.09,1.17,0,4,1
7,12.5,0,1,0,0,0,0,0,0,1073,4276,24.4,12.1,6.0,0.0,4.6,0.01,0.02,2.49,0.04,0.07,1.72,0,3,1
8,26.8,0,1,0,0,2,0,0,1,1277,3635,42.2,19.5,10.0,0.0,4.6,0.01,0.02,2.49,0.04,0.1,3.47,1,2,0
7,29.0,0,1,0,0,2,0,0,1,5962,2946,37.0,18.7,10.0,0.0,4.6,0.01,0.02,2.49,0.04,0.1,3.26,0,5,0
3,30.33,0,0,0,0,2,0,0,1,5978,4071,19.2,8.0,8.0,0.0,4.6,0.01,0.01,2.49,0.04,0.03,2.92,1,3,1
3,34.33,0,0,0,0,2,0,0,1,5979,4621,25.4,8.0,8.0,0.0,4.6,0.01,0.01,2.49,0.04,0.03,3.25,0,4,1
3,43.33,0,0,0,0,2,0,0,1,6243,4987,28.6,9.0,6.0,0.0,4.6,0.0,0.02,2.49,0.0,0.05,2.23,1,3,1
3,45.33,0,0,0,0,3,0,0,1,8979,5020,21.6,2.4,4.0,0.0,4.6,0.0,0.01,2.49,0.0,0.02,2.26,0,2,1
4,40.75,0,0,0,0,3,0,0,1,8830,5316,22.4,4.5,10.0,0.0,4.6,0.02,0.01,2.49,0.08,0.04,2.49,1,2,1
22,78.4,0,0,3,3,3,2,0,5,117741,200943,69.4,36.9,8.0,0.0,4.5,0.0,0.09,6.43,0.0,0.45,2.66,0,4,1
18,76.2,0,0,2,3,6,1,0,5,178396,237959,46.4,31.3,8.0,0.0,4.5,0.0,0.1,6.43,0.0,0.52,2.89,0,3,6
23,78.4,0,0,3,3,4,1,0,5,164762,221241,53.2,55.6,10.0,0.0,4.5,0.0,0.11,6.43,0.0,0.56,3.08,1,3,5
21,81.2,0,1,2,2,5,1,0,5,168590,187809,77.0,82.7,11.0,0.0,4.5,0.0,0.17,6.43,0.02,0.84,4.53,1,4,1
21,81.2,0,1,2,2,6,0,0,5,204766,175422,73.4,80.7,13.0,0.0,4.5,0.0,0.16,6.43,0.02,0.82,4.83,0,2,6
19,83.4,0,1,2,0,6,0,0,5,249728,158437,93.8,68.8,11.0,0.0,4.5,0.0,0.11,6.43,0.02,0.55,6.32,0,2,6
24,81.8,0,2,2,1,4,0,0,5,318288,139388,122.4,92.3,15.0,0.0,4.5,0.0,0.11,6.43,0.02,0.54,5.55,1,2,6
24,82.8,0,2,2,1,4,0,0,5,449893,128288,122.4,70.1,17.0,0.1,4.6,0.03,0.11,6.43,0.13,0.53,5.49,0,4,5
24,83.2,0,1,3,1,3,1,0,5,470224,115337,98.0,51.5,21.0,0.1,4.6,0.05,0.04,6.43,0.24,0.18,4.21,0,2,8
31,83.2,0,1,4,3,1,1,0,5,535605,106023,104.8,89.6,16.0,0.1,4.6,0.06,0.08,6.43,0.29,0.38,3.76,1,2,2
27,86.2,0,1,3,3,2,1,0,5,1246820,389973,98.0,110.5,20.0,0.2,4.7,0.06,0.14,6.43,0.29,0.7,3.14,0,3,1
22,83.8,0,0,3,2,1,1,0,5,1184998,409091,67.4,80.9,18.0,0.2,4.7,0.06,0.12,6.43,0.29,0.61,2.83,1,3,7
23,80.8,0,0,3,3,1,1,0,5,1065030,468483,68.8,87.9,16.0,0.1,4.7,0.04,0.12,6.43,0.18,0.58,3.48,0,4,8
26,80.8,0,0,3,5,1,0,0,5,1075818,512581,81.8,84.6,9.0,0.1,4.7,0.01,0.12,6.43,0.05,0.61,4.73,1,3,0
18,71.8,0,0,2,3,2,1,0,5,1034254,524240,69.0,45.2,8.0,0.1,4.7,0.0,0.08,6.43,0.0,0.4,4.16,0,2,2
18,70.6,0,0,2,3,2,1,0,5,332010,317697,58.6,28.0,6.0,0.0,4.7,0.0,0.02,6.43,0.0,0.11,4.75,1,3,2
19,76.8,0,0,2,3,3,1,0,5,309659,352089,70.0,65.1,14.0,0.0,4.7,0.0,0.05,6.43,0.0,0.23,6.76,1,5,1
13,63.2,0,0,1,2,3,1,0,4,322698,352000,52.2,53.3,16.0,0.0,4.7,0.01,0.04,6.43,0.03,0.21,5.68,0,2,1
6,60.8,0,0,0,0,5,1,0,4,277648,336639,39.2,60.8,18.0,0.0,4.7,0.01,0.09,6.43,0.03,0.44,4.54,0,3,7
13,69.8,0,0,1,1,4,0,0,4,225535,391700,52.0,66.3,18.0,0.0,4.7,0.01,0.1,6.43,0.03,0.48,4.45,1,2,6
