season,gameweek,team,opponent_team,is_home,lagged_GC_1,lagged_GC_2,lagged_GC_3,lagged_GC_4,lagged_GC_5,lagged_GS_1,lagged_GS_2,lagged_GS_3,lagged_GS_4,lagged_GS_5,days_rest,days_till_next,opponent_lagged_GC_1,opponent_lagged_GC_2,opponent_lagged_GC_3,opponent_lagged_GC_4,opponent_lagged_GC_5,opponent_lagged_GS_1,opponent_lagged_GS_2,opponent_lagged_GS_3,opponent_lagged_GS_4,opponent_lagged_GS_5,opponent_days_rest,opponent_days_till_next,goals_conceded
2223,4,8,4,0,1.0,2.0,1.0,,,1.0,1.0,0.0,,,7.0,3.0,3.0,0.0,2.0,,,2.0,4.0,2.0,,,7.0,3.0,1
2223,4,5,11,1,0.0,0.0,1.0,,,2.0,0.0,2.0,,,6.0,3.0,0.0,2.0,1.0,,,3.0,2.0,2.0,,,6.0,3.0,0
2223,4,11,5,0,0.0,2.0,1.0,,,3.0,2.0,2.0,,,6.0,3.0,0.0,0.0,1.0,,,2.0,0.0,2.0,,,6.0,3.0,1
2223,4,6,10,1,3.0,2.0,0.0,,,0.0,2.0,1.0,,,6.0,3.0,2.0,4.0,2.0,,,1.0,2.0,2.0,,,7.0,5.0,1
2223,4,10,6,0,2.0,4.0,2.0,,,1.0,2.0,2.0,,,7.0,5.0,3.0,2.0,0.0,,,0.0,2.0,1.0,,,6.0,3.0,2
2223,4,12,3,1,2.0,1.0,2.0,,,1.0,1.0,2.0,,,4.0,4.0,3.0,4.0,0.0,,,0.0,0.0,2.0,,,6.0,4.0,0
2223,4,3,12,0,3.0,4.0,0.0,,,0.0,0.0,2.0,,,6.0,4.0,2.0,1.0,2.0,,,1.0,1.0,2.0,,,4.0,4.0,9
2223,4,13,7,1,3.0,0.0,0.0,,,3.0,4.0,2.0,,,5.0,4.0,1.0,1.0,2.0,,,3.0,1.0,0.0,,,7.0,3.0,2
2223,4,7,13,0,1.0,1.0,2.0,,,3.0,1.0,0.0,,,7.0,3.0,3.0,0.0,0.0,,,3.0,4.0,2.0,,,5.0,4.0,4
2223,4,1,9,1,0.0,2.0,0.0,,,3.0,4.0,2.0,,,7.0,4.0,2.0,0.0,2.0,,,3.0,0.0,2.0,,,7.0,3.0,1
2223,4,9,1,0,2.0,0.0,2.0,,,3.0,0.0,2.0,,,7.0,3.0,0.0,2.0,0.0,,,3.0,4.0,2.0,,,7.0,4.0,2
2223,4,2,19,1,3.0,1.0,2.0,,,1.0,2.0,0.0,,,7.0,3.0,2.0,1.0,2.0,,,0.0,0.0,0.0,,,7.0,3.0,1
2223,4,19,2,0,2.0,1.0,2.0,,,0.0,0.0,0.0,,,7.0,3.0,3.0,1.0,2.0,,,1.0,2.0,0.0,,,7.0,3.0,0
2223,4,20,15,1,1.0,0.0,2.0,,,0.0,0.0,1.0,,,8.0,3.0,3.0,0.0,0.0,,,3.0,0.0,2.0,,,6.0,3.0,1
2223,4,15,20,0,3.0,0.0,0.0,,,3.0,0.0,2.0,,,6.0,3.0,1.0,0.0,2.0,,,0.0,0.0,1.0,,,8.0,3.0,1
2223,4,16,18,1,1.0,0.0,2.0,,,1.0,1.0,0.0,,,8.0,3.0,0.0,2.0,1.0,,,1.0,2.0,4.0,,,8.0,3.0,2
