points_last_5,minutes_last_5,goals_last_5,assists_last_5,clean_sheets_last_5,bonus_points_last_5,ict_index,player_position,player_price,xG_per_90,xA_per_90,home_away_current_plus_1,home_away_current_plus_2,home_away_current_plus_3,home_away_current_plus_4,home_away_current_plus_5,home_away_current_plus_6,home_away_current_plus_7,fdr_current_plus_1,fdr_current_plus_2,fdr_current_plus_3,fdr_current_plus_4,fdr_current_plus_5,fdr_current_plus_6,fdr_current_plus_7,total_points_plus_7
2,90,0,0,0,0,2.9,1,4.2,0.03,0.01,0,0,1,0,1,0,1,4,3,2,5,3,4,3,10
4,180,0,0,0,0,2.3,1,4.2,0.0,0.01,0,1,0,1,0,1,0,3,2,5,3,4,3,2,9
5,270,0,0,0,0,2.4,1,4.2,0.0,0.0,1,0,1,0,1,0,1,2,5,3,4,3,2,2,8
8,270,0,0,2,0,0.0,2,4.9,0.0,0.0,0,1,1,0,0,1,0,3,3,4,2,2,2,4,32
5,180,0,0,1,0,0.0,2,4.9,0.0,0.0,1,1,0,0,1,0,0,3,4,2,2,2,4,2,31
6,167,0,0,2,0,1.7,2,4.8,0.0,0.04,1,0,0,1,0,0,1,4,2,2,2,4,2,2,23
13,149,1,0,1,3,11.5,2,4.8,0.06,0.07,0,0,1,0,0,1,0,2,2,2,4,2,2,3,22
15,239,1,0,1,3,3.5,2,4.8,0.0,0.05,0,1,0,0,1,0,1,2,2,4,2,2,3,3,22
18,329,1,0,2,3,1.1,2,4.8,0.0,0.0,1,0,0,1,0,1,0,2,4,2,2,3,3,4,23
20,419,1,0,2,3,3.1,2,4.8,0.0,0.07,0,0,1,0,1,0,1,4,2,2,3,3,4,3,16
26,432,2,0,2,4,10.1,2,4.8,0.16,0.23,0,1,0,1,0,1,0,2,2,3,3,4,3,2,14
19,450,1,0,3,1,2.6,2,4.8,0.34,0.02,1,0,1,0,1,0,1,2,3,3,4,3,2,3,15
19,450,1,0,4,1,2.6,2,4.8,0.0,0.02,0,1,0,1,0,1,1,3,3,4,3,2,3,5,13
18,450,1,0,3,1,1.8,2,4.8,0.05,0.08,1,0,1,0,1,1,0,3,4,3,2,3,5,2,12
17,433,1,0,3,1,4.7,2,4.8,0.16,0.02,0,1,0,1,1,0,0,4,3,2,3,5,2,3,10
11,433,0,0,3,0,5.4,2,4.8,0.07,0.03,1,0,1,1,0,0,1,3,2,3,5,2,3,2,8
11,433,0,0,3,0,4.5,2,4.8,0.12,0.05,0,1,1,0,0,1,1,2,3,5,2,3,2,2,14
11,433,0,0,2,0,3.9,2,4.8,0.11,0.04,1,1,0,0,1,1,0,3,5,2,3,2,2,2,16
10,401,0,0,2,0,2.7,2,4.7,0.03,0.03,1,0,0,1,1,0,1,5,2,3,2,2,2,2,15
12,418,0,0,2,1,10.5,2,4.7,0.04,0.14,0,0,1,1,0,1,1,2,3,2,2,2,2,2,16
9,328,0,0,1,1,0.0,2,4.7,0.0,0.0,0,1,1,0,1,1,0,3,2,2,2,2,2,4,18
6,238,0,0,0,1,0.0,2,4.7,0.0,0.0,1,1,0,1,1,0,0,2,2,2,2,2,4,3,18
5,154,0,0,0,1,0.1,2,4.7,0.0,0.0,1,0,1,1,0,0,1,2,2,2,2,4,3,2,19
5,141,0,0,0,1,3.0,2,4.7,0.0,0.41,0,1,1,0,0,1,0,2,2,2,4,3,2,5,12
10,141,1,0,0,1,10.6,2,4.7,0.6,0.11,1,1,0,0,1,0,1,2,2,4,3,2,5,3,10
13,231,1,0,1,1,3.1,2,4.7,0.0,0.02,1,0,0,1,0,1,0,2,4,3,2,5,3,4,9
15,321,1,0,1,1,3.7,2,4.7,0.14,0.17,0,0,1,0,1,0,1,4,3,2,5,3,4,3,8
15,374,1,0,1,1,1.0,2,4.7,0.0,0.01,0,1,0,1,0,1,0,3,2,5,3,4,3,2,8
